---------------------------|---------|----------|---------|---------|----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
File                       | % Stmts | % Branch | % Funcs | % Lines | Uncovered Line #s                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
---------------------------|---------|----------|---------|---------|----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
All files                  |   92.94 |    82.87 |   99.56 |   92.38 |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
 server                    |     100 |      100 |     100 |     100 |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
  statusCodes.js           |     100 |      100 |     100 |     100 |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
  utilities.js             |     100 |      100 |     100 |     100 |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
  utilityEncryption.js     |     100 |      100 |     100 |     100 |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
 server/db                 |   85.14 |    69.38 |   99.21 |    84.9 |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
  dbManager.js             |   85.14 |    69.38 |   99.21 |    84.9 | 
 server/models             |     100 |    96.42 |     100 |     100 |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
  internalOrder.js         |     100 |      100 |     100 |     100 |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
  item.js                  |     100 |      100 |     100 |     100 |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
  position.js              |     100 |      100 |     100 |     100 |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
  restockOrder.js          |     100 |    93.75 |     100 |     100 | 67                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
  returnOrder.js           |     100 |      100 |     100 |     100 |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
  sku.js                   |     100 |      100 |     100 |     100 |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
  skuItem.js               |     100 |      100 |     100 |     100 |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
  testDescriptor.js        |     100 |      100 |     100 |     100 |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
  testResult.js            |     100 |      100 |     100 |     100 |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
  user.js                  |     100 |      100 |     100 |     100 |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
 server/services           |   97.08 |    88.81 |     100 |   97.21 |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
  internalOrderService.js  |   94.87 |       80 |     100 |    96.1 | 21-22,84                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
  itemService.js           |     100 |      100 |     100 |     100 |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
  positionsService.js      |     100 |      100 |     100 |     100 |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
  restockOrderService.js   |   94.94 |    81.35 |     100 |   94.84 | 78,86,91,94,189                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
  returnOrderService.js    |   95.34 |    77.27 |     100 |   95.23 | 41,84                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
  skuItemService.js        |     100 |      100 |     100 |     100 |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
  skuService.js            |   93.25 |    80.43 |     100 |   92.94 | 81,123,130,138,185,192                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
  testDescriptorService.js |     100 |      100 |     100 |     100 |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
  testResultService.js     |     100 |      100 |     100 |     100 |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
  userService.js           |     100 |      100 |     100 |     100 |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
 server/unit_test/mock     |     100 |      100 |     100 |     100 |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
  mockDbManager.js         |     100 |      100 |     100 |     100 |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
---------------------------|---------|----------|---------|---------|----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
